Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
2.24125,-2.5,0.590176,7.18143
2.29125,-2.5,0.604666,7.51569
2.34125,-2.5,0.619382,7.85871
2.39125,-2.5,0.634324,8.21056
2.44125,-2.5,0.649493,8.57133
2.49125,-2.5,0.664892,8.94109
2.54125,-2.5,0.680522,9.31991
2.59125,-2.5,0.696384,9.70787
2.64125,-2.5,0.712481,10.1051
2.69125,-2.5,0.728812,10.5116
2.74125,-2.5,0.745382,10.9274
2.79125,-2.5,0.762189,11.3528
2.84125,-2.5,0.779238,11.7877
2.89125,-2.5,0.796528,12.2322
2.94125,-2.5,0.814062,12.6865
2.99125,-2.5,0.831842,13.1506
3,-2.5,0.834965,13.2328
3,-2.5,0.834965,13.2328
3.01,-2.5,0.838555,13.3271
3.02,-2.5,0.842165,13.4219
3.035,-2.5,0.847587,13.5647
3.0575,-2.5,0.855769,13.7807
3.09125,-2.5,0.868135,14.1085
3.14125,-2.5,0.886669,14.6026
3.19125,-2.5,0.90545,15.1069
3.24125,-2.5,0.924483,15.6214
3.29125,-2.5,0.943773,16.1463
3.34125,-2.5,0.96332,16.6817
3.39125,-2.5,0.983128,17.2277
3.44125,-2.5,1.0032,17.7843
3.49125,-2.5,1.02353,18.3517
3.54125,-2.5,1.04413,18.93
3.59125,-2.5,1.06499,19.5194
3.64125,-2.5,1.08613,20.1198
3.69125,-2.5,1.10754,20.7314
3.74125,-2.5,1.12922,21.3543
0,-5,0.295286,0.749657
0.01,-5,0.296492,0.749761
0.02,-5,0.297703,0.750099
0.035,-5,0.299532,0.751047
0.0575,-5,0.302304,0.753462
0.09125,-5,0.306525,0.759326
0.14125,-5,0.312918,0.772977
0.19125,-5,0.319477,0.792586
0.24125,-5,0.326203,0.81819
0.29125,-5,0.333098,0.849825
0.34125,-5,0.340163,0.88753
0.39125,-5,0.347399,0.93134
0.44125,-5,0.354805,0.981296
0.49125,-5,0.362385,1.03743
0.54125,-5,0.370138,1.0998
0.59125,-5,0.378065,1.16842
0.64125,-5,0.386168,1.24335
0.69125,-5,0.394447,1.32462
0.74125,-5,0.402904,1.41227
0.79125,-5,0.411539,1.50636
0.84125,-5,0.420353,1.60691
0.89125,-5,0.429348,1.71398
0.94125,-5,0.438524,1.8276
0.99125,-5,0.447883,1.94783
1,-5,0.449533,1.96955
1,-5,0.449533,1.96955
1.01,-5,0.451433,1.99462
1.02,-5,0.453341,2.01996
1.035,-5,0.456216,2.05847
1.0575,-5,0.46056,2.11737
1.09125,-5,0.467147,2.20826
1.14125,-5,0.477063,2.34856
1.19125,-5,0.487163,2.49564
1.24125,-5,0.497449,2.64956
1.29125,-5,0.507925,2.81035
1.34125,-5,0.518591,2.97808
1.39125,-5,0.529447,3.15278
1.44125,-5,0.540496,3.33451
1.49125,-5,0.551739,3.52332
1.54125,-5,0.563175,3.71926
1.59125,-5,0.574808,3.92238
1.64125,-5,0.586637,4.13273
1.69125,-5,0.598665,4.35038
1.74125,-5,0.610891,4.57536
1.79125,-5,0.623318,4.80775
1.84125,-5,0.635947,5.04759
1.89125,-5,0.648778,5.29493
1.94125,-5,0.661813,5.54985
1.99125,-5,0.675054,5.81239
2,-5,0.677383,5.85911
2,-5,0.677383,5.85911
2.01,-5,0.680062,5.91281
2.02,-5,0.682752,5.96682
2.035,-5,0.6868,6.0484
2.0575,-5,0.692908,6.17209
2.09125,-5,0.702151,6.36057
2.14125,-5,0.71602,6.64635
2.19125,-5,0.730097,6.93998
2.24125,-5,0.744384,7.24155
2.29125,-5,0.758884,7.5511
2.34125,-5,0.773599,7.86872
2.39125,-5,0.788529,8.19445
2.44125,-5,0.803677,8.52837
2.49125,-5,0.819044,8.87054
2.54125,-5,0.83463,9.22103
2.59125,-5,0.850438,9.57991
2.64125,-5,0.866469,9.94725
2.69125,-5,0.882725,10.3231
2.74125,-5,0.899206,10.7076
2.79125,-5,0.915915,11.1008
2.84125,-5,0.932852,11.5027
2.89125,-5,0.95002,11.9134
2.94125,-5,0.96742,12.333
2.99125,-5,0.985053,12.7616
3,-5,0.988149,12.8375
3,-5,0.988149,12.8375
3.01,-5,0.991707,12.9247
3.02,-5,0.995287,13.0121
3.035,-5,1.00066,13.1441
3.0575,-5,1.00877,13.3435
3.09125,-5,1.02102,13.6461
3.14125,-5,1.03937,14.1021
3.19125,-5,1.05795,14.5674
3.24125,-5,1.07678,15.0421
3.29125,-5,1.09585,15.5263
3.34125,-5,1.11516,16.0201
3.39125,-5,1.13472,16.5234
3.44125,-5,1.15453,17.0366
3.49125,-5,1.17459,17.5595
3.54125,-5,1.1949,18.0923
3.59125,-5,1.21546,18.6352
3.60375,-5,1.22063,18.7725
3.60844,-5,1.22257,18.8241
3.61547,-5,1.2255,18.9018
3.61547,-5,1.22551,18.9022
0,-7.5,0.435128,1.66759
0.01,-7.5,0.436406,1.66768
0.02,-7.5,0.437689,1.66797
0.035,-7.5,0.439626,1.66883
0.0575,-7.5,0.442558,1.67105
0.09125,-7.5,0.447018,1.67646
0.14125,-7.5,0.453758,1.68909
0.19125,-7.5,0.460658,1.70728
0.24125,-7.5,0.467718,1.73104
0.29125,-7.5,0.47494,1.76041
0.34125,-7.5,0.482324,1.79543
0.39125,-7.5,0.489873,1.83613
0.44125,-7.5,0.497586,1.88253
0.49125,-7.5,0.505464,1.93468
0.54125,-7.5,0.513509,1.99261
0.59125,-7.5,0.521721,2.05635
0.64125,-7.5,0.530101,2.12595
0.69125,-7.5,0.53865,2.20142
0.74125,-7.5,0.547369,2.28282
0.79125,-7.5,0.556259,2.37018
0.84125,-7.5,0.565321,2.46354
0.89125,-7.5,0.574555,2.56293
0.94125,-7.5,0.583964,2.66839
0.99125,-7.5,0.593547,2.77996
1,-7.5,0.595234,2.80012
1,-7.5,0.595234,2.80012
1.01,-7.5,0.597178,2.82339
1.02,-7.5,0.599129,2.8469
1.035,-7.5,0.602068,2.88263
1.0575,-7.5,0.606508,2.93728
1.09125,-7.5,0.613235,3.0216
1.14125,-7.5,0.623351,3.15175
1.19125,-7.5,0.633644,3.28817
1.24125,-7.5,0.644115,3.4309
1.29125,-7.5,0.654766,3.57999
1.34125,-7.5,0.665599,3.73548
1.39125,-7.5,0.676614,3.89741
1.44125,-7.5,0.687814,4.06583
1.49125,-7.5,0.699197,4.24078
1.54125,-7.5,0.710767,4.4223
1.59125,-7.5,0.722524,4.61045
1.64125,-7.5,0.734468,4.80526
1.69125,-7.5,0.746601,5.00679
1.74125,-7.5,0.758925,5.21508
1.79125,-7.5,0.77144,5.43018
1.84125,-7.5,0.784147,5.65214
1.89125,-7.5,0.797047,5.88101
1.94125,-7.5,0.810142,6.11684
1.99125,-7.5,0.823433,6.35968
2,-7.5,0.825769,6.40289
2,-7.5,0.825769,6.40289
2.01,-7.5,0.828457,6.45256
2.02,-7.5,0.831154,6.5025
2.035,-7.5,0.835214,6.57795
2.0575,-7.5,0.841338,6.69232
2.09125,-7.5,0.8506,6.86659
2.14125,-7.5,0.86449,7.13077
2.19125,-7.5,0.878577,7.40217
2.24125,-7.5,0.892865,7.68085
2.29125,-7.5,0.907355,7.96686
2.34125,-7.5,0.92205,8.26025
2.39125,-7.5,0.93695,8.56109
2.44125,-7.5,0.952056,8.86943
2.49125,-7.5,0.967371,9.18533
2.54125,-7.5,0.982895,9.50884
2.59125,-7.5,0.99863,9.84004
2.64125,-7.5,1.01458,10.179
2.69125,-7.5,1.03074,10.5257
2.74125,-7.5,1.04711,10.8803
2.79125,-7.5,1.0637,11.2429
2.84125,-7.5,1.08051,11.6134
2.89125,-7.5,1.09753,11.992
2.94125,-7.5,1.11478,12.3787
2.99125,-7.5,1.13225,12.7736
3,-7.5,1.13531,12.8435
3,-7.5,1.13531,12.8435
3.01,-7.5,1.13884,12.9238
3.02,-7.5,1.14238,13.0044
3.035,-7.5,1.1477,13.1259
3.0575,-7.5,1.15572,13.3096
3.09125,-7.5,1.16785,13.5882
3.14125,-7.5,1.186,14.0081
3.19125,-7.5,1.20437,14.4365
3.24125,-7.5,1.22296,14.8734
3.29125,-7.5,1.24179,15.319
3.34125,-7.5,1.26085,15.7732
3.39125,-7.5,1.28015,16.2362
0,-10,0.570864,2.93321
0.01,-10,0.572214,2.93327
0.02,-10,0.573565,2.93353
0.035,-10,0.575605,2.93429
0.0575,-10,0.578691,2.93631
0.09125,-10,0.583379,2.94126
0.14125,-10,0.590452,2.95291
0.19125,-10,0.597677,2.9697
0.24125,-10,0.605056,2.99168
0.29125,-10,0.612589,3.01886
0.34125,-10,0.620279,3.05128
0.39125,-10,0.628125,3.08897
0.44125,-10,0.636128,3.13196
0.49125,-10,0.64429,3.18027
0.54125,-10,0.652611,3.23393
0.59125,-10,0.661092,3.29298
0.64125,-10,0.669734,3.35745
0.69125,-10,0.678537,3.42737
0.74125,-10,0.687503,3.50276
0.79125,-10,0.696632,3.58367
0.84125,-10,0.705926,3.67012
0.89125,-10,0.715384,3.76215
0.94125,-10,0.725008,3.8598
0.99125,-10,0.734799,3.96308
1,-10,0.736522,3.98174
1,-10,0.736522,3.98174
1.01,-10,0.738506,4.00328
1.02,-10,0.740497,4.02504
1.035,-10,0.743496,4.05812
1.0575,-10,0.748023,4.1087
1.09125,-10,0.75488,4.18673
1.14125,-10,0.765181,4.30717
1.19125,-10,0.775649,4.43338
1.24125,-10,0.786288,4.56543
1.29125,-10,0.797098,4.70333
1.34125,-10,0.808082,4.84712
1.39125,-10,0.81924,4.99685
1.44125,-10,0.830573,5.15255
1.49125,-10,0.842083,5.31427
1.54125,-10,0.853769,5.48203
1.59125,-10,0.865633,5.65589
