Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
0.19125,-2.5,0.320246,0.439039
0.24125,-2.5,0.325338,0.471466
0.29125,-2.5,0.330636,0.511564
0.34125,-2.5,0.33614,0.559398
0.39125,-2.5,0.341852,0.615032
0.44125,-2.5,0.347773,0.678533
0.49125,-2.5,0.353905,0.749967
0.54125,-2.5,0.36025,0.829402
0.59125,-2.5,0.366807,0.916906
0.64125,-2.5,0.373579,1.01255
0.69125,-2.5,0.380568,1.1164
0.74125,-2.5,0.387774,1.22854
0.79125,-2.5,0.395198,1.34902
0.84125,-2.5,0.402844,1.47794
0.89125,-2.5,0.410711,1.61536
0.94125,-2.5,0.418801,1.76135
0.99125,-2.5,0.427117,1.916
1,-2.5,0.42859,1.94396
1,-2.5,0.42859,1.94396
1.01,-2.5,0.430288,1.97624
1.02,-2.5,0.431995,2.00887
1.035,-2.5,0.434573,2.05848
1.0575,-2.5,0.438478,2.13438
1.09125,-2.5,0.444424,2.25158
1.14125,-2.5,0.453426,2.43267
1.19125,-2.5,0.462656,2.62273
1.24125,-2.5,0.472118,2.82185
1.29125,-2.5,0.481815,3.03011
1.34125,-2.5,0.491746,3.2476
1.39125,-2.5,0.501915,3.4744
1.44125,-2.5,0.512323,3.7106
1.49125,-2.5,0.522971,3.95629
1.54125,-2.5,0.533861,4.21156
1.59125,-2.5,0.544995,4.47651
1.64125,-2.5,0.556375,4.75122
1.69125,-2.5,0.568002,5.03579
1.74125,-2.5,0.579877,5.33031
1.79125,-2.5,0.592004,5.6349
1.84125,-2.5,0.604383,5.94963
1.89125,-2.5,0.617016,6.27462
1.94125,-2.5,0.629905,6.60997
1.99125,-2.5,0.643052,6.95578
2,-2.5,0.645368,7.01737
2,-2.5,0.645368,7.01737
2.01,-2.5,0.648038,7.08817
2.02,-2.5,0.650719,7.15939
2.035,-2.5,0.654756,7.26703
2.0575,-2.5,0.660862,7.43027
2.09125,-2.5,0.670119,7.67921
2.14125,-2.5,0.684056,8.05706
2.19125,-2.5,0.698255,8.44579
2.24125,-2.5,0.712719,8.84554
2.29125,-2.5,0.727452,9.25641
2.34125,-2.5,0.742457,9.67852
2.39125,-2.5,0.757735,10.112
2.44125,-2.5,0.773288,10.5569
2.49125,-2.5,0.789118,11.0135
2.54125,-2.5,0.805228,11.4818
2.59125,-2.5,0.821619,11.9619
2.64125,-2.5,0.838294,12.454
2.69125,-2.5,0.855255,12.9582
2.74125,-2.5,0.872503,13.4747
2.79125,-2.5,0.890042,14.0036
2.84125,-2.5,0.907872,14.545
2.89125,-2.5,0.925998,15.099
2.94125,-2.5,0.94442,15.6659
2.99125,-2.5,0.963141,16.2457
3,-2.5,0.96643,16.3485
3,-2.5,0.96643,16.3485
3.01,-2.5,0.970219,16.4665
3.02,-2.5,0.974028,16.585
3.035,-2.5,0.979747,16.7638
3.0575,-2.5,0.988395,17.0342
3.09125,-2.5,1.00148,17.4448
3.14125,-2.5,1.02112,18.0644
