Pressure_kPa,Displacement_mm,Force_N,InternalEnergy_mJ
6.59125,0,2.84023,100.03
6.64125,0,2.88569,101.991
6.69125,0,2.93173,103.984
6.74125,0,2.97836,106.01
6.79125,0,3.02559,108.069
6.84125,0,3.07342,110.162
6.89125,0,3.12187,112.29
6.94125,0,3.17095,114.453
6.99125,0,3.22066,116.653
7,0,3.22946,117.042
7,0,3.22946,117.042
7.01,0,3.23965,117.487
7.02,0,3.24952,117.935
7.035,0,3.26478,118.608
7.0575,0,3.2875,119.626
7.09125,0,3.32214,121.167
7.14125,0,3.37371,123.482
7.19125,0,3.42603,125.839
7.24125,0,3.47906,128.238
7.29125,0,3.53277,130.681
7.34125,0,3.58719,133.169
7.39125,0,3.64231,135.703
7.44125,0,3.69814,138.287
7.49125,0,3.75469,140.922
7.54125,0,3.81196,143.611
7.59125,0,3.86995,146.357
7.64125,0,3.92865,149.162
7.69125,0,3.98806,152.031
7.74125,0,4.04815,154.968
7.79125,0,4.1089,157.978
7.84125,0,4.17029,161.067
7.89125,0,4.23226,164.24
7.94125,0,4.29476,167.504
7.99125,0,4.35773,170.866
8,0,4.3688,171.463
8,0,4.3688,171.463
8.01,0,4.38142,172.155
8.02,0,4.38876,173.398
8.03,0,4.39119,175.099
8.04,0,4.39549,176.645
8.05,0,4.39997,178.182
8.06,0,4.40491,179.684
8.07,0,4.4102,181.162
8.08,0,4.41564,182.622
8.095,0,4.42429,184.784
8.1175,0,4.43818,187.966
8.15125,0,4.46008,192.672
8.20125,0,4.49385,199.564
8.25125,0,4.53316,206.147
8.30125,0,4.59875,211.184
8.33875,0,4.65756,214.47
8.37625,0,4.71717,217.825
8.42625,0,4.79752,222.405
8.47625,0,4.87885,227.109
8.52625,0,4.96119,231.944
8.57625,0,5.04455,236.913
8.62625,0,5.12888,242.022
8.67625,0,5.21416,247.276
8.72625,0,5.30034,252.679
8.77625,0,5.3874,258.237
8.82625,0,5.47527,263.955
8.87625,0,5.5639,269.837
8.92625,0,5.65323,275.886
8.97625,0,5.74317,282.108
9,0,5.78596,285.118
9,0,5.78596,285.118
9.01,0,5.8046,286.396
9.02,0,5.8218,287.685
9.035,0,5.8499,289.633
9.0575,0,5.88964,292.586
9.0913,0,5.9526,297.085
9.1412,0,6.04353,303.9
9.1912,0,6.13476,310.893
9.2413,0,6.22636,318.068
9.2913,0,6.31782,325.427
9.3413,0,6.40941,332.964
9.3912,0,6.50027,340.683
9.4412,0,6.59142,348.578
9.4913,0,6.68136,356.643
9.5413,0,6.77153,364.876
9.5913,0,6.86085,373.271
9.6412,0,6.94835,381.826
9.6912,0,7.03654,390.532
9.7413,0,7.12251,399.386
9.7913,0,7.20905,408.381
9.8413,0,7.29303,417.511
9.8912,0,7.37778,426.772
9.9412,0,7.45878,436.138
9.9913,0,7.46645,444.873
10,0,7.46753,446.287
0,-2.5,0.0913121,0.116434
0.01,-2.5,0.0927793,0.116589
0.02,-2.5,0.0942518,0.117063
0.035,-2.5,0.0964704,0.118369
0.0575,-2.5,0.0998208,0.121671
0.09125,-2.5,0.104897,0.129649
0.14125,-2.5,0.11253,0.148156
0.19125,-2.5,0.120299,0.174671
0.24125,-2.5,0.128206,0.209221
0.29125,-2.5,0.136251,0.251833
0.34125,-2.5,0.144436,0.302537
0.39125,-2.5,0.152763,0.361362
0.44125,-2.5,0.161234,0.428338
0.49125,-2.5,0.169849,0.503497
0.54125,-2.5,0.178611,0.58687
0.59125,-2.5,0.187521,0.678492
0.64125,-2.5,0.19658,0.778396
0.69125,-2.5,0.20579,0.886617
0.74125,-2.5,0.215152,1.00319
0.79125,-2.5,0.224669,1.12815
0.84125,-2.5,0.234341,1.26154
0.89125,-2.5,0.24417,1.4034
0.94125,-2.5,0.254158,1.55376
0.99125,-2.5,0.264306,1.71267
1,-2.5,0.266096,1.74136
1,-2.5,0.266096,1.74136
1.01,-2.5,0.268151,1.77447
1.02,-2.5,0.270212,1.80792
1.035,-2.5,0.273316,1.85875
1.0575,-2.5,0.278,1.93645
1.09125,-2.5,0.285088,2.05628
1.14125,-2.5,0.295728,2.24108
1.19125,-2.5,0.306534,2.43459
1.24125,-2.5,0.317508,2.63687
1.29125,-2.5,0.328652,2.84795
1.34125,-2.5,0.339967,3.06789
1.39125,-2.5,0.351456,3.29674
1.44125,-2.5,0.36312,3.53454
1.49125,-2.5,0.37496,3.78134
1.54125,-2.5,0.386979,4.03719
1.59125,-2.5,0.399178,4.30216
1.64125,-2.5,0.411558,4.57628
1.69125,-2.5,0.424122,4.85962
1.74125,-2.5,0.436872,5.15223
1.79125,-2.5,0.449808,5.45416
1.84125,-2.5,0.462933,5.76548
1.89125,-2.5,0.476248,6.08625
1.94125,-2.5,0.489756,6.41652
1.99125,-2.5,0.503458,6.75635
2,-2.5,0.505871,6.8168
2,-2.5,0.505871,6.8168
2.01,-2.5,0.508644,6.88625
2.02,-2.5,0.511421,6.9561
2.035,-2.5,0.515603,7.06159
2.0575,-2.5,0.521911,7.22146
2.09125,-2.5,0.531448,7.46495
2.14125,-2.5,0.545746,7.83386
2.19125,-2.5,0.560243,8.21259
2.24125,-2.5,0.574944,8.6012
2.29125,-2.5,0.589849,8.99977
2.34125,-2.5,0.604962,9.40837
